,h_te_mean,h_te_median,h_te_min,h_te_max,latitude,longitude,h_te_mode,h_te_skew,n_te_photons,segment_snowcover,terrain_slope,h_te_uncertainty,dem_h,x,y
0,3192.597412109375,3191.8818359375,3182.45166015625,3202.7880859375,37.735694885253906,-119.3393325805664,3199.0,0.009913128800690174,37.0,1.0,0.2129698246717453,86.28654479980469,3229.163818359375,293863.3942240103,4179066.7812126726
1,3211.26416015625,3206.720458984375,3203.69482421875,3245.268798828125,37.73659133911133,-119.33944702148438,3.4028234663852886e+38,1.8460320234298706,10.0,1.0,0.44100087881088257,321.1287841796875,3272.34814453125,293855.79589913844,4179166.513323696
2,3286.623291015625,3293.93896484375,3255.23095703125,3308.373046875,37.737491607666016,-119.33956146240234,3.4028234663852886e+38,-0.6360208988189697,8.0,1.0,1.0496563911437988,410.8345031738281,3312.6796875,293848.2084537629,4179266.668782803
3,3338.869140625,3339.35595703125,3329.545654296875,3339.9560546875,37.7383918762207,-119.33967590332031,3339.400146484375,-3.9839789867401123,57.0,1.0,0.01910163089632988,58.57666015625,3335.949951171875,293840.62130398944,4179366.8242711383
4,3333.65625,3333.4228515625,3331.1337890625,3337.171875,37.739288330078125,-119.33978271484375,3333.0,0.3501874506473541,90.0,1.0,-0.048448845744132996,37.04063034057617,3350.78173828125,293833.6962097293,4179466.5396548132
5,3340.4150390625,3339.214599609375,3334.031982421875,3351.80322265625,37.74018859863281,-119.33988952636719,3339.900146484375,1.0485658645629883,72.0,1.0,0.17787571251392365,46.394710540771484,3372.453125,293826.78198089526,4179566.678384896
6,3360.85205078125,3360.00390625,3351.900390625,3371.488525390625,37.7410888671875,-119.33999633789062,3367.60009765625,0.18250557780265808,49.0,1.0,0.24256660044193268,68.58890533447266,3396.14501953125,293819.86803139374,4179666.817142336
7,3386.412841796875,3386.89501953125,3375.852294921875,3394.446044921875,37.74198532104492,-119.3401107788086,3391.900146484375,-0.33828476071357727,55.0,1.0,0.23914575576782227,61.57121658325195,3378.704345703125,293812.27144998545,4179766.5494253305
8,3082.667724609375,3080.096435546875,3059.820068359375,3128.358642578125,37.746482849121094,-119.34063720703125,3.4028234663852886e+38,0.8802632093429565,6.0,1.0,-0.7623928785324097,513.7920532226562,3061.4111328125,293778.3690158583,4180266.803622271
9,3026.061279296875,3021.182373046875,3017.19921875,3048.9833984375,37.74738311767578,-119.34073638916016,3019.0,1.164210319519043,14.0,1.0,-0.3947477340698242,216.1484832763672,3045.590087890625,293772.12929392926,4180366.9257482123
10,3013.6171875,3012.7626953125,3010.826904296875,3018.344482421875,37.7482795715332,-119.34085083007812,3011.800048828125,0.6816578507423401,21.0,1.0,-0.077898770570755,143.50563049316406,3039.55859375,293764.5347106096,4180466.6582275243
11,3013.748291015625,3014.109375,3010.60009765625,3016.34228515625,37.74917984008789,-119.34095001220703,3014.800048828125,-0.5038393139839172,38.0,1.0,0.06325774639844894,79.3091812133789,3053.16064453125,293758.29553048813,4180566.7804063032
12,3031.8671875,3033.099609375,3016.718994140625,3036.426025390625,37.75008010864258,-119.341064453125,3036.10009765625,-1.6838023662567139,40.0,1.0,0.20477746427059174,75.79678344726562,3066.14990234375,293750.7121153187,4180666.9362618066
13,3040.944091796875,3040.91845703125,3038.74560546875,3042.874755859375,37.7509765625,-119.34117126464844,3042.60009765625,-0.09246093034744263,12.0,1.0,0.08646059781312943,253.4120330810547,3067.5400390625,293743.7906408636,4180766.652000062
14,3047.48388671875,3047.506103515625,3047.22314453125,3047.713623046875,37.75187683105469,-119.3412857055664,3047.5,-0.40941306948661804,53.0,1.0,0.000660174060612917,57.499691009521484,3067.14599609375,293736.20780821017,4180866.807912983
15,3047.519287109375,3047.496337890625,3047.20458984375,3048.016357421875,37.75277328491211,-119.34139251708984,3047.5,0.9429604411125183,47.0,1.0,0.0023416883777827024,64.8408432006836,3070.2265625,293729.28689859225,4180966.523706667
16,3049.514892578125,3048.8505859375,3048.166748046875,3052.57763671875,37.7536735534668,-119.34149932861328,3049.0,0.923612654209137,20.0,1.0,0.07012514770030975,152.4757537841797,3076.733642578125,293722.37686503376,4181066.6628476838
17,3060.914794921875,3059.2236328125,3055.39306640625,3067.112060546875,37.754573822021484,-119.34161376953125,3067.10009765625,0.23177069425582886,16.0,1.0,0.19364799559116364,191.307373046875,3092.785400390625,293714.7949025019,4181166.8188462835
18,3082.2900390625,3082.947509765625,3072.422607421875,3083.164306640625,37.755470275878906,-119.34172058105469,3082.800048828125,-3.6122982501983643,23.0,1.0,0.10289916396141052,134.0126495361328,3118.982177734375,293707.8748364782,4181266.534722683
19,3081.85791015625,3081.828125,3081.173828125,3082.77392578125,37.756370544433594,-119.34182739257812,3082.300048828125,0.1809564232826233,44.0,1.0,0.0050986167043447495,70.04222869873047,3135.24658203125,293700.9656486687,4181366.673946603
20,3086.010498046875,3083.742919921875,3082.2021484375,3102.925537109375,37.75727081298828,-119.34193420410156,3082.400146484375,1.6652287244796753,19.0,1.0,0.31289875507354736,162.421875,3136.200927734375,293694.05674030795,4181466.8131978754
21,3079.144287109375,3085.196044921875,3057.383056640625,3092.9599609375,37.75906753540039,-119.34215545654297,3.4028234663852886e+38,-0.4990074932575226,9.0,1.0,-0.6101273894309998,342.1309814453125,3083.161376953125,293679.5569919467,4181666.68529681
22,3032.088134765625,3032.5537109375,3009.491455078125,3051.9951171875,37.75996780395508,-119.34225463867188,3.4028234663852886e+38,-0.21759286522865295,11.0,1.0,-0.4447011351585388,275.6471862792969,3031.681640625,293673.32108898426,4181766.807795263
23,2991.000244140625,2988.546630859375,2983.03955078125,3008.204833984375,37.7608642578125,-119.34236145019531,2983.10009765625,0.6483169198036194,34.0,1.0,-0.28636932373046875,87.97083282470703,2999.58154296875,293666.4026940934,4181866.5238352777
24,2976.295166015625,2974.204345703125,2971.814453125,2982.576171875,37.76176452636719,-119.34246826171875,2972.300048828125,0.5196352005004883,32.0,1.0,-0.11527184396982193,93.00933837890625,2984.90576171875,293659.49518165755,4181966.6632231823
25,2970.218994140625,2970.302734375,2968.972900390625,2971.768798828125,37.762664794921875,-119.34257507324219,2970.300048828125,-0.12337177991867065,49.0,1.0,-0.022064024582505226,60.61671829223633,2981.371826171875,293652.5879487089,4182066.802638437
26,2968.2275390625,2968.084716796875,2967.205810546875,2969.05615234375,37.7635612487793,-119.34268951416016,2968.10009765625,-0.10455599427223206,15.0,1.0,-0.021530667319893837,197.88182067871094,2989.427734375,293644.9982624318,4182166.5355995973
27,2968.19091796875,2967.943603515625,2967.28369140625,2970.653564453125,37.764461517333984,-119.34280395507812,2968.0,1.5764797925949097,16.0,1.0,0.03398183360695839,185.51194763183594,2999.60693359375,293637.41947703384,4182266.691910698
28,2971.3701171875,2971.4375,2970.660400390625,2971.754638671875,37.76536178588867,-119.34291076660156,2971.400146484375,-0.7669057846069336,11.0,1.0,0.004184787627309561,270.1245422363281,3005.705322265625,293630.51309817855,4182366.8314097514
29,2976.512939453125,2976.668212890625,2975.895263671875,2976.76513671875,37.76715850830078,-119.34312438964844,2976.699951171875,-0.857816755771637,5.0,1.0,0.015648867934942245,595.3026123046875,3004.872314453125,293616.69057035795,4182566.687168869
30,2972.121337890625,2972.548095703125,2969.428466796875,2973.30908203125,37.76805877685547,-119.3432388305664,2972.699951171875,-1.3316911458969116,13.0,1.0,-0.03571932762861252,228.62474060058594,2992.963134765625,293609.1129430407,4182666.843593888
31,2966.32421875,2966.749267578125,2963.14013671875,2967.728271484375,37.76895523071289,-119.34333801269531,3.4028234663852886e+38,-1.107243537902832,6.0,1.0,-0.0624493844807148,494.3874206542969,2988.786865234375,293602.86915783084,4182766.5430371338
32,2963.6181640625,2963.167236328125,2962.818115234375,2972.5849609375,37.76985549926758,-119.34345245361328,2963.0,3.761803388595581,20.0,1.0,0.12060575932264328,148.18093872070312,2995.4052734375,293595.2921051496,4182866.6995185968
33,2985.2724609375,2985.2587890625,2977.849853515625,2990.227783203125,37.770751953125,-119.34356689453125,2984.5,-0.6859424710273743,8.0,1.0,0.11099188029766083,373.1593017578125,3010.509765625,293587.7047367901,4182966.432707987
34,3084.532958984375,3085.3193359375,3074.06005859375,3108.54150390625,37.7734489440918,-119.3438949584961,3.4028234663852886e+38,0.8060888051986694,11.0,1.0,0.36916086077690125,280.4136657714844,3105.017578125,293566.30970051663,4183266.445394429
35,3264.04443359375,3271.329833984375,3235.3623046875,3280.76123046875,37.776145935058594,-119.34423065185547,3278.699951171875,-0.4619746208190918,11.0,1.0,0.5821676254272461,296.7354736328125,3245.19580078125,293544.24521192734,4183566.4751844527
36,3257.27978515625,3255.752197265625,3242.09033203125,3277.63232421875,37.7779426574707,-119.34445190429688,3244.199951171875,0.19265981018543243,13.0,1.0,-0.41134122014045715,250.561767578125,3262.55908203125,293529.75746258727,4183766.348461802
37,3247.77978515625,3244.26904296875,3240.90771484375,3259.794921875,37.77884292602539,-119.34455871582031,3241.0,0.5073833465576172,54.0,1.0,0.2111813873052597,60.14421081542969,3245.474609375,293522.85532179417,4183866.4883761182
38,3261.42578125,3261.703857421875,3258.09814453125,3263.699951171875,37.77974319458008,-119.34466552734375,3262.300048828125,-0.5223697423934937,32.0,1.0,-0.025388456881046295,101.9195556640625,3228.3330078125,293515.9534606077,4183966.628317782
39,3246.48095703125,3246.9541015625,3235.197509765625,3257.89697265625,37.7806396484375,-119.34477233886719,3237.10009765625,0.013132584281265736,29.0,1.0,-0.23514290153980255,111.9480972290039,3207.5458984375,293509.04125966947,4184066.3449648176
40,3224.12451171875,3223.0048828125,3213.9892578125,3234.377685546875,37.78153991699219,-119.34487915039062,3220.60009765625,0.19048777222633362,37.0,1.0,-0.20967544615268707,87.13860321044922,3188.586181640625,293502.1399570183,4184166.4849611046
41,3204.98388671875,3204.9189453125,3197.155029296875,3213.42578125,37.782440185546875,-119.34498596191406,3198.400146484375,-0.07851912826299667,61.0,1.0,-0.15692643821239471,52.5407829284668,3171.119140625,293495.23893399735,4184266.6249847356
42,3189.71240234375,3190.111328125,3182.174560546875,3197.317138671875,37.7833366394043,-119.34510040283203,3192.400146484375,-0.131577268242836,46.0,1.0,-0.15424923598766327,69.3416519165039,3155.655029296875,293487.65562118054,4184366.35857326
43,3177.197265625,3178.510986328125,3161.119140625,3182.382080078125,37.784236907958984,-119.34520721435547,3182.199951171875,-1.999591588973999,21.0,1.0,-0.21286340057849884,151.29531860351562,3141.488037109375,293480.75516488624,4184466.4986524186
44,3143.40966796875,3138.916259765625,3130.736083984375,3159.4541015625,37.78513717651367,-119.3453140258789,3132.10009765625,0.1679399460554123,31.0,1.0,-0.29614004492759705,101.40098571777344,3129.591796875,293473.85498824174,4184566.6387589206
45,3125.70458984375,3124.664794921875,3123.787109375,3130.99658203125,37.786033630371094,-119.34542083740234,3124.400146484375,1.2601258754730225,66.0,1.0,-0.06781195104122162,47.35917663574219,3124.75830078125,293466.94446764025,4184666.355570422
