,h_te_mean,h_te_median,h_te_min,h_te_max,latitude,longitude,h_te_mode,h_te_skew,n_te_photons,segment_snowcover,terrain_slope,h_te_uncertainty,dem_h,x,y
0,3201.494384765625,3200.724365234375,3190.52587890625,3219.939208984375,37.73561477661133,-119.34038543701172,3202.400146484375,0.5903716087341309,123.0,1.0,0.267556369304657,26.02847671508789,3243.472900390625,293770.38351615553,4179060.21195015
1,3273.33349609375,3273.6650390625,3244.02197265625,3300.6435546875,37.73643112182617,-119.34049224853516,3.4028234663852886e+38,-0.004369725473225117,8.0,1.0,0.7734375596046448,409.1806640625,3276.81103515625,293763.2362909054,4179151.037674048
2,3334.114013671875,3334.74853515625,3312.783447265625,3335.4375,37.73741149902344,-119.34062194824219,3334.900146484375,-5.099915504455566,200.0,1.0,0.10804302245378494,16.670570373535156,3320.517822265625,293754.52759448264,4179260.116603285
3,3330.29736328125,3330.749755859375,3322.918701171875,3334.9658203125,37.738311767578125,-119.34072875976562,3334.0,-0.4673197567462921,285.0,1.0,-0.11205703765153885,11.685260772705078,3337.27685546875,293747.6139171873,4179360.2554024504
4,3318.85107421875,3318.19775390625,3316.772216796875,3323.48046875,37.73920822143555,-119.34082794189453,3318.199951171875,1.1407406330108643,233.0,1.0,-0.03933050110936165,14.243999481201172,3345.203857421875,293741.3622752696,4179459.954087503
5,3326.146240234375,3325.6650390625,3319.07080078125,3335.88427734375,37.740108489990234,-119.34093475341797,3326.699951171875,0.33890488743782043,224.0,1.0,0.15698839724063873,14.848871231079102,3364.23779296875,293734.449147812,4179560.0929404167
6,3351.944091796875,3353.07958984375,3336.263916015625,3367.661376953125,37.74100875854492,-119.34104919433594,3361.400146484375,-0.12885765731334686,114.0,1.0,0.31255149841308594,29.403133392333984,3393.620849609375,293726.8639684066,4179660.248644784
7,3380.338134765625,3381.666015625,3367.496826171875,3391.059814453125,37.741905212402344,-119.34115600585938,3385.60009765625,-0.17630745470523834,158.0,1.0,0.22534529864788055,21.394594192504883,3388.210205078125,293719.9408141532,4179759.9642339465
8,3394.62255859375,3393.629638671875,3390.298828125,3401.09765625,37.74280548095703,-119.34127044677734,3393.5,0.6732757091522217,171.0,1.0,0.10269024968147278,19.851593017578125,3335.77490234375,293712.3562171783,4179860.119995739
9,3401.0126953125,3401.0302734375,3400.356201171875,3401.549560546875,37.74370574951172,-119.34137725830078,3401.0,-0.30294373631477356,38.0,1.0,-0.001989526441320777,89.50032806396484,3268.463623046875,293705.4442227654,4179960.2589598307
10,3294.313720703125,3288.855224609375,3263.4443359375,3344.882568359375,37.74460220336914,-119.34148406982422,3280.699951171875,0.6994537711143494,69.0,1.0,-0.8807605504989624,47.74480056762695,3192.08154296875,293698.5219119411,4180059.97463172
11,3099.0517578125,3095.015380859375,3074.66845703125,3157.31396484375,37.746402740478516,-119.34169006347656,3095.0,1.96035897731781,13.0,1.0,-0.7987935543060303,238.39315795898438,3057.7890625,293685.3716011244,4180260.235866973
12,3017.05029296875,3011.417236328125,3004.4443359375,3054.368896484375,37.7473030090332,-119.34178924560547,3008.800048828125,1.5603153705596924,51.0,1.0,-0.6406334042549133,59.15861892700195,3027.269775390625,293679.1329897579,4180360.358109081
13,2993.8623046875,2993.137939453125,2990.78125,3003.012939453125,37.748199462890625,-119.34188842773438,2991.10009765625,0.8941845297813416,158.0,1.0,-0.10877364128828049,18.948505401611328,3014.940673828125,293672.88404300914,4180460.057056982
14,2993.8203125,2993.303955078125,2992.838623046875,2996.676025390625,37.74909973144531,-119.34200286865234,2993.300048828125,1.3543621301651,258.0,1.0,0.03862261399626732,11.603948593139648,3027.119384765625,293665.30144104606,4180560.2130145594
15,3021.225830078125,3027.311767578125,2994.91748046875,3029.343994140625,37.749996185302734,-119.34211730957031,3028.400146484375,-1.3724204301834106,109.0,1.0,0.35401850938796997,27.717851638793945,3042.4580078125,293657.70853483677,4180659.94568143
16,3034.03515625,3033.57958984375,3028.684814453125,3039.311767578125,37.75089645385742,-119.34222412109375,3037.300048828125,0.10828325897455215,162.0,1.0,0.10965657234191895,18.72863006591797,3046.704345703125,293650.79876538634,4180760.0848632706
17,3040.37548828125,3040.271728515625,3039.02294921875,3041.879638671875,37.751617431640625,-119.3423080444336,3039.5,0.12964211404323578,143.0,1.0,-0.008052455261349678,21.26136589050293,3049.0712890625,293645.40771831945,4180840.277525486
18,3043.519775390625,3042.929931640625,3040.512451171875,3047.263671875,37.75269317626953,-119.34244537353516,3042.900146484375,0.6983261704444885,109.0,1.0,0.0593736506998539,27.922204971313477,3058.42822265625,293636.2972371736,4180959.956824827
