,h_te_mean,h_te_median,h_te_min,h_te_max,latitude,longitude,h_te_mode,h_te_skew,n_te_photons,segment_snowcover,terrain_slope,h_te_uncertainty,dem_h,x,y
0,2029.357177734375,2030.0234375,2024.4058837890625,2034.920166015625,38.21160888671875,-119.3030014038086,3.4028234663852886e+38,0.012466385960578918,8.0,1.0,-0.12500597536563873,253.66995239257812,2028.9898681640625,298372.14777667145,4231801.216677081
1,2280.033447265625,2279.90576171875,2278.892333984375,2281.7900390625,38.16396713256836,-119.30879211425781,2280.300048828125,0.766465961933136,48.0,1.0,0.02348906733095646,47.50069808959961,2277.76611328125,297733.3173462453,4226526.704449398
2,2286.576416015625,2286.361572265625,2285.14111328125,2288.461669921875,38.16217041015625,-119.30901336669922,2286.0,0.4656180739402771,43.0,1.0,0.02569505199790001,53.17619705200195,2283.613525390625,297708.9636478132,4226327.793164011
3,2297.537109375,2297.2490234375,2294.052001953125,2302.50830078125,38.16037368774414,-119.30923461914062,2297.300048828125,0.5081846117973328,34.0,1.0,0.0975857749581337,67.57466888427734,2292.353515625,297684.6091947249,4226128.881961433
4,2376.335693359375,2376.519775390625,2371.593994140625,2384.811767578125,38.155879974365234,-119.30978393554688,2378.400146484375,0.45389997959136963,35.0,1.0,0.13150109350681305,67.89537048339844,2368.404052734375,297624.0487610045,4225631.384316304
5,3125.53515625,3125.9697265625,3122.677490234375,3128.093505859375,38.11543273925781,-119.3147201538086,3.4028234663852886e+38,-0.21947956085205078,6.0,2.0,0.08550702780485153,520.9226684570312,3169.46533203125,297079.4529289855,4221153.4886060385
6,3141.248046875,3143.168701171875,3133.06201171875,3147.204833984375,38.114532470703125,-119.31482696533203,3.4028234663852886e+38,-0.36611485481262207,5.0,2.0,0.2665739953517914,628.25048828125,3186.8779296875,297067.5952272713,4221053.814050583
7,3309.650390625,3309.40087890625,3306.7802734375,3312.0048828125,38.09835433959961,-119.3167953491211,3.4028234663852886e+38,-0.03357620909810066,6.0,2.0,-0.35770487785339355,551.6085815429688,3334.888916015625,296850.1852844924,4219262.739062984
8,2988.391845703125,2987.990234375,2987.828125,2997.125732421875,38.09115982055664,-119.3176498413086,2988.0,3.798607587814331,164.0,2.0,-0.09369413554668427,18.221906661987305,2976.9443359375,296755.31198950973,4218466.1929292325
9,2988.30859375,2987.96728515625,2987.470703125,3002.8193359375,38.09026336669922,-119.31776428222656,2988.0,6.176794052124023,187.0,2.0,0.08669699728488922,15.980260848999023,2980.712646484375,296742.7907947966,4218366.958964436
10,2789.228515625,2788.674560546875,2787.141845703125,2800.25439453125,38.08037567138672,-119.31895446777344,2789.0,2.626983165740967,33.0,1.0,0.1072261705994606,84.52210235595703,2800.440673828125,296610.9938743324,4217272.272948244
11,3076.649658203125,3076.64990234375,3075.348876953125,3078.17578125,38.05160903930664,-119.32244110107422,3075.699951171875,0.17032882571220398,24.0,1.0,-0.06800642609596252,128.19374084472656,3086.873291015625,296225.3219354834,4214087.529555967
12,3149.1015625,3150.89208984375,3138.692138671875,3161.359375,38.047115325927734,-119.322998046875,3.4028234663852886e+38,0.059943169355392456,5.0,1.0,0.2622407376766205,629.8226318359375,3162.781982421875,296163.97953755816,4213590.061021087
13,2989.0205078125,2988.646484375,2987.5517578125,2992.58935546875,38.027339935302734,-119.32538604736328,2987.800048828125,1.0974699258804321,26.0,1.0,0.05202618986368179,114.96232604980469,3016.688232421875,295899.5000317018,4211400.729563561
14,3007.6015625,3011.297119140625,2996.389404296875,3021.9091796875,38.02644348144531,-119.32549285888672,2999.60009765625,-0.03762585669755936,17.0,1.0,0.27995315194129944,176.91830444335938,3011.220947265625,295887.63508121576,4211301.480316966
15,3045.894287109375,3045.0830078125,3032.55419921875,3053.867431640625,38.025543212890625,-119.32560729980469,3053.800048828125,-0.22462397813796997,24.0,1.0,0.26699960231781006,126.91259765625,3015.2783203125,295875.0896186682,4211201.824510184
16,3103.157958984375,3103.579345703125,3088.454345703125,3115.86474609375,38.023746490478516,-119.3258285522461,3115.800048828125,0.08655509352684021,13.0,1.0,0.307559072971344,238.70550537109375,3051.97021484375,295850.6784556309,4211002.919538962
17,3119.50048828125,3119.516357421875,3115.580078125,3122.263427734375,38.02284622192383,-119.32593536376953,3121.10009765625,-0.5602084398269653,17.0,1.0,0.04803244769573212,183.5000762939453,3076.9755859375,295838.80218050536,4210903.247037955
18,3128.990234375,3129.14599609375,3122.380126953125,3137.099853515625,38.02194595336914,-119.3260498046875,3122.800048828125,0.12355690449476242,25.0,1.0,0.16494134068489075,125.15973663330078,3095.718505859375,295826.2559506964,4210803.591314792
19,3155.46875,3154.83837890625,3139.927001953125,3172.23876953125,38.02104949951172,-119.32615661621094,3142.699951171875,0.06563238799571991,26.0,1.0,0.42637914419174194,121.36470031738281,3116.597412109375,295814.3899004903,4210704.342189326
20,3199.743896484375,3196.835205078125,3179.71826171875,3217.237548828125,38.02014923095703,-119.32626342773438,3.4028234663852886e+38,0.040047381073236465,13.0,1.0,0.7395700812339783,246.13601684570312,3151.370361328125,295802.5130788039,4210604.669748695
21,3257.175537109375,3254.471435546875,3241.950927734375,3272.760986328125,38.01925277709961,-119.32637786865234,3.4028234663852886e+38,0.25278690457344055,19.0,1.0,0.3659402132034302,171.4311065673828,3197.586669921875,295789.9768706226,4210505.437422832
22,3285.943115234375,3284.463134765625,3279.5810546875,3296.33447265625,38.01835250854492,-119.32649230957031,3284.300048828125,1.5670138597488403,29.0,1.0,0.15044741332530975,113.30846405029297,3244.187255859375,295777.4298739801,4210405.781783228
23,3325.237060546875,3312.821533203125,3296.94140625,3368.30224609375,38.0174560546875,-119.32660675048828,3.4028234663852886e+38,0.3631042540073395,12.0,1.0,0.6990796327590942,277.1129150390625,3291.6455078125,295764.89327480644,4210306.549499743
24,3438.20947265625,3425.39111328125,3419.75439453125,3464.7314453125,38.012062072753906,-119.32726287841797,3.4028234663852886e+38,0.4032122790813446,8.0,1.0,-0.7284883856773376,429.7835998535156,3486.466552734375,295692.30665872054,4209709.395843427
25,3402.37109375,3413.6796875,3375.896240234375,3416.847412109375,38.01116180419922,-119.3273696899414,3.4028234663852886e+38,-0.5267374515533447,6.0,1.0,-0.44381827116012573,567.0699462890625,3477.256591796875,295680.42800212797,4209609.723605009
26,3123.80859375,3127.52685546875,3105.88427734375,3149.697998046875,38.007564544677734,-119.32778930664062,3.4028234663852886e+38,0.3092971444129944,16.0,1.0,-0.4819003641605377,195.23960876464844,3222.31396484375,295633.59208434745,4209211.441416406
27,3082.540283203125,3080.592041015625,3062.47607421875,3100.183837890625,38.00666809082031,-119.32789611816406,3100.199951171875,-0.0654710978269577,17.0,1.0,-0.41561681032180786,181.32772827148438,3165.96875,295621.7231358218,4209112.192611172
28,3018.77685546875,3018.39013671875,3016.692138671875,3020.81884765625,38.00307083129883,-119.32833099365234,3020.60009765625,0.06443318724632263,51.0,1.0,0.044597078114748,59.19171905517578,3035.583984375,295573.54381214327,4208713.944357649
29,3024.72412109375,3025.461181640625,3020.3701171875,3027.51220703125,38.00217056274414,-119.32844543457031,3025.699951171875,-0.9616521596908569,52.0,1.0,0.07261406630277634,58.16777801513672,3028.626953125,295560.9934064839,4208614.289090503
30,3032.594482421875,3030.4853515625,3028.17578125,3049.468994140625,38.00127410888672,-119.32855224609375,3034.699951171875,1.9072009325027466,49.0,1.0,0.2024308741092682,61.8897590637207,3031.183837890625,295549.1233674231,4208515.040405618
31,3129.83447265625,3131.44287109375,3100.509033203125,3155.481201171875,37.999473571777344,-119.32877349853516,3.4028234663852886e+38,-0.09524744749069214,14.0,1.0,0.6097734570503235,223.565673828125,3076.343017578125,295524.69157450204,4208315.713201689
32,3164.15380859375,3165.39892578125,3154.7685546875,3168.512451171875,37.99857711791992,-119.32888793945312,3163.10009765625,-0.9453817009925842,52.0,1.0,0.12989488244056702,60.84915542602539,3126.113525390625,295512.1510017152,4208216.48135194
33,3171.532470703125,3171.498046875,3168.127197265625,3176.802734375,37.997676849365234,-119.32899475097656,3171.800048828125,0.7218285202980042,37.0,1.0,0.07750232517719269,85.71710968017578,3159.489501953125,295500.26963090536,4208116.809413816
34,3182.802490234375,3181.936279296875,3176.420654296875,3195.47998046875,37.99678039550781,-119.3291015625,3177.400146484375,0.941361665725708,41.0,1.0,0.20350302755832672,77.62943267822266,3171.543701171875,295488.39868063596,4208017.560829389
35,3250.319580078125,3249.12841796875,3242.3515625,3261.801513671875,37.994083404541016,-119.32943725585938,3.4028234663852886e+38,0.4390459656715393,7.0,1.0,-0.3069475591182709,464.332275390625,3232.93994140625,295451.4234966041,4207719.002084125
36,3233.7265625,3234.451416015625,3225.552734375,3240.561279296875,37.99318313598633,-119.32954406738281,3234.10009765625,-0.27486592531204224,30.0,1.0,-0.15101376175880432,107.79100799560547,3249.482177734375,295439.54121330683,4207619.330246668
37,3219.553955078125,3219.87744140625,3214.065185546875,3225.107666015625,37.992286682128906,-119.32965087890625,3214.699951171875,-0.10575087368488312,22.0,1.0,-0.11321461945772171,146.34344482421875,3256.215576171875,295427.66935201583,4207520.081762673
38,3206.0673828125,3205.82568359375,3200.343017578125,3212.14306640625,37.99138641357422,-119.32975769042969,3200.699951171875,0.05698857456445694,21.0,1.0,-0.1252644956111908,152.6699981689453,3254.35888671875,295415.7867104049,4207420.409964957
39,3275.183837890625,3271.677734375,3256.281494140625,3295.982177734375,37.987789154052734,-119.3302001953125,3.4028234663852886e+38,0.07446658611297607,12.0,1.0,0.4275921881198883,272.9352111816406,3265.4765625,295366.9247797864,4207022.1798720015
40,3137.094970703125,3137.99267578125,3129.5927734375,3141.7119140625,37.97970199584961,-119.3311767578125,3135.0,-0.9260731339454651,17.0,1.0,-0.16343215107917786,184.5350799560547,3174.188720703125,295258.6684396769,4206126.86222352
41,3095.394775390625,3096.050048828125,3089.73193359375,3098.9052734375,37.977901458740234,-119.33139038085938,3097.0,-0.43301260471343994,29.0,1.0,-0.16508392989635468,106.73776245117188,3126.058837890625,295234.8978957415,4205927.519209375
42,3080.508056640625,3078.62939453125,3077.259765625,3088.326416015625,37.97700500488281,-119.33149719238281,3078.10009765625,1.0983296632766724,40.0,1.0,-0.10556637495756149,77.01274108886719,3108.58544921875,295223.0229610887,4205828.271064898
43,3076.00830078125,3075.479736328125,3074.777099609375,3077.465087890625,37.976104736328125,-119.33160400390625,3075.199951171875,0.2660060524940491,49.0,1.0,-0.023319894447922707,62.775672912597656,3093.789306640625,295211.13724147534,4205728.599607468
44,3075.314453125,3075.314453125,3074.9677734375,3075.52197265625,37.97520446777344,-119.33171081542969,3075.300048828125,-0.7362810373306274,250.0,1.0,-0.00022511342831421643,12.301252365112305,3083.789306640625,295199.2513427057,4205628.928169911
45,3075.30126953125,3075.325927734375,3074.9560546875,3075.50732421875,37.974308013916016,-119.33182525634766,3075.300048828125,-0.8312211036682129,118.0,1.0,-0.00029786204686388373,26.06187629699707,3080.134765625,295186.70566159324,4205529.696877471
46,3075.311279296875,3075.327880859375,3074.93212890625,3075.498291015625,37.97340774536133,-119.3319320678711,3075.300048828125,-1.1892443895339966,119.0,1.0,-0.0005061120027676225,25.84295654296875,3081.916748046875,295174.8193965971,4205430.025480249
47,3075.373779296875,3075.324951171875,3074.791259765625,3079.047119140625,37.97250747680664,-119.33203887939453,3075.300048828125,6.46328067779541,227.0,1.0,0.006961432751268148,13.547900199890137,3088.37060546875,295162.9329524673,4205330.354102897
48,3081.974853515625,3081.868896484375,3080.76123046875,3084.402099609375,37.97161102294922,-119.3321533203125,3082.10009765625,1.0837271213531494,30.0,1.0,0.02068362571299076,102.73250579833984,3098.890625,295150.3867022571,4205231.12287249
49,3091.02783203125,3091.052978515625,3083.740478515625,3100.818359375,37.97071075439453,-119.33226013183594,3092.300048828125,0.3614844083786011,23.0,1.0,0.16773474216461182,134.3927001953125,3110.406005859375,295138.49989194644,4205131.451535468
50,3111.0595703125,3109.488037109375,3101.02685546875,3119.586181640625,37.969993591308594,-119.33235168457031,3118.10009765625,0.025736799463629723,43.0,1.0,0.20130477845668793,72.35034942626953,3121.01806640625,295128.4626017846,4205052.066582707
51,3121.958740234375,3121.499267578125,3119.964599609375,3124.491455078125,37.96891403198242,-119.33248138427734,3121.5,0.24448680877685547,28.0,1.0,0.04826262965798378,111.49855041503906,3137.340087890625,295114.0660832887,4204932.549049929
52,3139.697265625,3137.943359375,3137.1630859375,3144.226806640625,37.96711730957031,-119.33270263671875,3138.0,0.6191315054893494,14.0,1.0,0.09514831006526947,224.26417541503906,3152.541259765625,295089.6315265533,4204733.646646271
53,3149.649169921875,3150.101318359375,3145.65576171875,3151.01953125,37.966217041015625,-119.33280944824219,3151.0,-1.4679571390151978,15.0,1.0,0.05673424154520035,209.97665405273438,3159.402587890625,295077.74380488903,4204633.975409757
54,3135.049072265625,3134.616943359375,3129.03515625,3140.651611328125,37.96352005004883,-119.33313751220703,3.4028234663852886e+38,0.01197285857051611,6.0,1.0,-0.20337726175785065,522.5088500976562,3153.71044921875,295041.4198672665,4204335.401951944
