,h_te_mean,h_te_median,h_te_min,h_te_max,latitude,longitude,h_te_mode,h_te_skew,n_te_photons,segment_snowcover,terrain_slope,h_te_uncertainty,dem_h,x,y
0,1984.255859375,1984.194580078125,1983.631103515625,1984.97705078125,38.21758270263672,-119.2860336303711,1984.0,0.5567886233329773,59.0,1.0,-0.008480945602059364,33.63146209716797,1987.3001708984375,299874.2360780544,4232427.3496587565
1,1980.608154296875,1980.533203125,1979.6473388671875,1981.6497802734375,38.21488952636719,-119.2863540649414,1980.9000244140625,0.15420718491077423,52.0,1.0,-0.012372873723506927,38.088619232177734,1984.32275390625,299838.79866277555,4232129.161692715
2,1975.4173583984375,1975.480712890625,1974.68896484375,1976.3631591796875,38.21039581298828,-119.28689575195312,1975.0,0.13611015677452087,53.0,1.0,-0.012063726782798767,37.27202224731445,1978.268310546875,299779.05069014966,4231631.634196082
3,1974.212890625,1974.1409912109375,1973.7254638671875,1974.882568359375,38.209495544433594,-119.28700256347656,1974.0999755859375,0.4407152533531189,55.0,1.0,-0.008059637621045113,35.894779205322266,1977.2744140625,299767.2299702328,4231531.956120028
4,1972.1114501953125,1972.0765380859375,1971.6114501953125,1972.54541015625,38.2067985534668,-119.28731536865234,1972.0,0.023278480395674706,75.0,1.0,-0.004666466265916824,26.294816970825195,1975.18994140625,299732.44526167656,4231233.3288519485
5,1971.2713623046875,1971.230712890625,1970.651123046875,1971.9105224609375,38.205902099609375,-119.28742218017578,1971.0999755859375,0.1381358653306961,50.0,1.0,-0.007794205565005541,39.42543029785156,1974.4818115234375,299720.6342833337,4231134.074199492
6,1970.60205078125,1970.6103515625,1970.0186767578125,1971.056884765625,38.20500183105469,-119.28752899169922,1970.7000732421875,-0.41964709758758545,59.0,1.0,-0.00490489462390542,33.40004348754883,1973.0672607421875,299708.8126650647,4231034.396223718
7,1969.8179931640625,1969.7884521484375,1969.3265380859375,1970.5185546875,38.2041015625,-119.28763580322266,1969.7000732421875,0.4350105822086334,76.0,1.0,-0.0072250585071742535,25.918655395507812,1971.858154296875,299696.9908653817,4230934.718268141
8,1969.0521240234375,1969.0064697265625,1968.6168212890625,1969.5457763671875,38.20320510864258,-119.2877426147461,1968.9000244140625,0.5372687578201294,63.0,1.0,-0.004987715277820826,31.254798889160156,1971.4129638671875,299685.1793439229,4230835.463676098
9,1968.2108154296875,1968.174560546875,1967.078369140625,1969.2984619140625,38.20230484008789,-119.28784942626953,1968.9000244140625,-0.15735584497451782,50.0,1.0,-0.02067854255437851,39.36421203613281,1971.159423828125,299673.35718171805,4230735.785760874
10,1967.760009765625,1967.780029296875,1967.3551025390625,1968.2261962890625,38.2014045715332,-119.28795623779297,1967.800048828125,0.14675304293632507,69.0,1.0,-0.0031704697757959366,28.518260955810547,1970.3988037109375,299661.53483812633,4230636.107865846
11,1967.0989990234375,1967.1011962890625,1966.61376953125,1967.689208984375,38.20050811767578,-119.28807067871094,1967.0999755859375,0.3287070691585541,51.0,1.0,-0.0071944608353078365,38.5705680847168,1969.4273681640625,299649.054634619,4230536.869843402
12,1966.4508056640625,1966.451171875,1965.8460693359375,1967.078857421875,38.199607849121094,-119.28817749023438,1966.2000732421875,0.19143027067184448,79.0,1.0,-0.007840616628527641,24.89178466796875,1968.9068603515625,299637.2319202947,4230437.191989365
13,1966.297119140625,1966.284423828125,1965.8697509765625,1966.709228515625,38.19871139526367,-119.28827667236328,1966.300048828125,0.011845733970403671,72.0,1.0,-0.0007143298862501979,27.30968475341797,1968.75634765625,299626.08764112834,4230337.92098813
14,1966.04541015625,1966.0321044921875,1965.4625244140625,1966.698486328125,38.197811126708984,-119.28838348388672,1965.9000244140625,0.15842218697071075,89.0,1.0,0.004149747081100941,22.090394973754883,1968.814208984375,299614.2645726119,4230238.243173788
15,1965.83740234375,1965.8135986328125,1965.3668212890625,1966.3082275390625,38.1969108581543,-119.28849029541016,1965.800048828125,0.3651723563671112,69.0,1.0,-0.0009509235969744623,28.490398406982422,1968.3055419921875,299602.44132274104,4230138.565379637
16,1966.3074951171875,1966.1436767578125,1965.7176513671875,1967.596435546875,38.196014404296875,-119.2885971069336,1966.0999755859375,1.211457371711731,63.0,1.0,0.01233274769037962,31.21123504638672,1969.241943359375,299590.62835338677,4230039.3109486345
17,1973.95458984375,1971.4500732421875,1967.530029296875,1989.139892578125,38.19511413574219,-119.28870391845703,1968.0999755859375,0.9705065488815308,61.0,1.0,0.21104133129119873,32.36009216308594,1972.3026123046875,299578.8047411131,4229939.633194817
18,2007.31640625,2004.652099609375,1992.74609375,2023.30712890625,38.1942138671875,-119.28878784179688,2019.0999755859375,0.12387407571077347,18.0,1.0,0.3345208466053009,111.51920318603516,1980.0228271484375,299568.98553763435,4229839.9059203705
